,Plant Category,Seed Name,Average Temperature (2 m),Average Precipitation per day,Average Soil Temperature (0 to 6 cm),Average Soil Moisture (0-3 cm),Average Evapotranspiration,Average Sunshine Duration,Humidity(%),Soil Type,Best Growing Areas,Season,Wind Threshold(km/h),Heat Wave Maximum Temprature (°C),Rainfall Alert Maximum Rain (mm),Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Maximum Height of Plant (inches),Maximum area this plant require (inches),Soil depth for sowing (inches),Plant name
281,Perennial Climber,Sydgullregn,15,5,18,0.3,3,6000,70,"[""Loam"",""Sandy Loam"",""Clay""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring to Early Summer""]",40,35,10,48,"[""Organic compost"",""Slow-release fertilizer""]",8,120,36,2,sydgullregn
282,Perennial Flower,Såpnejlika,18,2,15,0.35,3.5,2400,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Fall""]",40,30,10,48,"[""NPK 10-10-10"",""Organic compost""]",4,20,12,0.5,såpnejlika
283,Vegetable,Sötpaprika,25,5,20,0.3,2,3000,60,"[""Loamy"",""Sandy""]","[""Mediterranean"",""Subtropical""]","[""Spring"",""Summer""]",40,35,30,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,0.5,sötpaprika
284,Perennial Flower,Tjärblomster,20,5,18,0.4,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Fall""]",30,35,20,48,"[""NPK 12-12-12"",""Organic compost""]",4,24,12,0.5,tjärblomster
285,Vegetable,Tomat 31,25,5,18,0.3,4,3000,60,"[""loam"",""sandy loam"",""clay loam""]","[""Mediterranean region"",""Central America"",""Southern United States""]","[""Spring"",""Summer"",""Autumn""]",30,40,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,60,24,1,"tomat 31,"
286,Flower,Tovsippa,15-25,5-10,15-20,0.3-0.5,4-6,18000-20000,40-60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Garden beds"",""Borders"",""Rock gardens""]","[""Spring"",""Summer""]",30,30,20,24-48,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4-6,8,12,0.5,tovsippa
287,Flowering plant,Trollduva,20,5,18,0.4,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Mediterranean climates""]","[""Start of spring"",""Late summer""]",30,35,20,48,"[""NPK"",""Organic compost""]",4,24,12,2,trollduva
288,Perennial Flower,Trädsgårdsiris,18,10,15,0.3,4,6000,60,"[""Loam"",""Sandy Loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,30,20,48,"[""All-purpose fertilizer"",""Organic compost""]",6,36,12,2,trädsgårdsiris
289,Perennial,Trädgårdsjättevallmo,18,5,15,0.4,3,5000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,30,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,72,12,0.5,trädgårdsjättevallmo
290,Annual Flower,Trädgårdsmålla,20,5,15,0.3,3,9000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Fall""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,0.2,trädgårdsmålla
291,Perennial,Trädgårdsnattviol,18,5,15,0.3,4,300,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""Scandinavia"",""Boreal regions""]","[""Late spring"",""Summer"",""Early autumn""]",40,30,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,12,12,0.2,trädgårdsnattviol
292,Perennial,Trädgårdssporre,15,5,10,0.4,3,18000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,30,20,24,"[""Organic compost"",""Slow-release fertilizer""]",4,36,12,0.5,trädgårdssporre
293,Flowering Perennial,Trädgårdsstormhatt,20,5,15,0.4,3,6000,60,"[""Loam"",""Sandy loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer""]",40,30,15,48,"[""Organic compost"",""Slow-release granular fertilizer""]",8,36,12,0.2,trädgårdsstormhatt
294,Fruit plant,Trädgårdsäppel,15,5,12,0.3,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""NPK fertilizer""]",6,120,48,2,trädgårdsäppel
295,Flowering Plant,Tuviris,25,5,20,0.3,3,3000,60,"[""Loam"",""Sandy"",""Clay""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK"",""Organic compost""]",4,24,12,1,tuviris
296,Flowering Plant,Törnrosas Kjörtel,25,5,18,0.4,3,3000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Northern Europe"",""Scandinavia"",""Baltic States""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,36,24,2,törnrosas kjörtel
297,Perennial,Ullig Kardborre,15,5,12,0.4,3,18000,60,"[""Sandy loam"",""Loam"",""Clay""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,30,20,48,"[""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",4,36,24,0.5,ullig kardborre
298,Flowering plant,Underblomma,24,5,20,0.4,3,6000,70,"[""loam"",""sandy loam""]","[""temperate regions"",""subtropical regions""]","[""Spring"",""Summer""]",40,35,20,48,"[""organic compost"",""slow-release granular fertilizer""]",4,24,144,1,underblomma
299,Herb,Vallört,18,2,15,0.3,3,18000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Temperate regions"",""Mediterranean climate zones""]","[""Late spring"",""Summer""]",30,35,20,48,"[""All-purpose liquid fertilizer"",""Organic compost""]",4,24,12,0.5,vallört
300,Flowering Plant,Vanlig Vitsenap,18 °C,5 mm,15 °C,0.2 m³/m³,3 mm/day,8 hours,60%,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Autumn""]",20 km/h,30 °C,20 mm,48 hours,"[""NPK fertilizer"",""Organic compost""]",4 weeks,24 in,12 in,1 in,vanlig vitsenap
301,Fruit,Vattenmelon,25,5,20,0.4,3,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Mediterranean regions""]","[""Late spring"",""Summer""]",30,35,20,48,"[""Nitrogen-rich fertilizer"",""Phosphorus-rich fertilizer"",""Potassium-rich fertilizer""]",2,12,36,1,vattenmelon
302,Legume,Vaxböna,20,5,18,0.3,3,600,60,"[""Loamy"",""Sandy""]","[""Scandinavia"",""Northern Europe""]","[""Spring"",""Summer""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,48,12,1,vaxböna
303,Flowering Plant,Vejde,25,5,20,0.3,3,6000,50,"[""Loam"",""Sandy Loam"",""Clay""]","[""Tropical regions"",""Subtropical regions"",""Mediterranean regions""]","[""Spring"",""Summer""]",40,35,20,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,36,12,1,vejde
304,Grain,Vete,20,5,15,0.3,3,36000,60,"[""Loam"",""Silt"",""Clay""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",30,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,40,12,2,vete
305,Biennial,Vildmorot,15,5,10,0.3,4,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Scandinavia"",""Northern Europe"",""North America""]","[""Late spring"",""Summer""]",40,30,15,48,"[""Nitrogen-rich fertilizer"",""Phosphorus-rich fertilizer""]",4,24,12,0.5,vildmorot
306,Perennial Flower,Vildmånviol,15-20,5-10,12-15,0.25-0.35,2-4,18000-20000,40-60,"[""Well-drained loam"",""Sandy loam"",""Silty loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",30,25,20,48-72,"[""Organic compost"",""Slow-release granular fertilizer""]",4-6,10-12,12-16,0.25-0.5,vildmånviol
307,Perennial Flower,Vinterkäck,-5,5,3,0.4,2,18000,70,"[""Loamy"",""Sandy""]","[""Northern Europe"",""Scandinavia""]","[""Start of spring"",""Early summer""]",40,30,30,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,12,12,1,vinterkäck
308,Vegetable,Vinterpumpa 28,15,5,12,0.3,3,2400,60,"[""loam"",""sandy loam"",""clay loam""]","[""Northern Europe"",""Northern United States"",""Canada""]","[""Late Spring"",""Summer"",""Early Fall""]",40,30,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,2,"vinterpumpa 28,"
309,Leafy vegetable,Vintersallat,15,2,10,0.2,3,18000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Mild climates""]","[""Starts in spring"",""Summer"",""Autumn""]",40,35,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,12,9,0.5,vintersallat
310,Flowering plant,Violkungsljus,23,5,18,0.35,3,6000,50,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30,35,20,72,"[""NPK fertilizer"",""Organic compost""]",4,24,12,1,violkungsljus
311,Flowering Plant,Vipprams,25,5,20,0.4,3,6000,60,"[""Loam"",""Sandy"",""Clay""]","[""Tropical regions"",""Subtropical regions"",""Mediterranean regions""]","[""Spring"",""Summer"",""Autumn""]",40,40,30,48,"[""NPK"",""Organic compost""]",4,36,12,1,vipprams
312,Flowering plant,Virginia Tobacco,25,5,20,0.3,4,3600,60,"[""Sandy loam"",""Clay loam""]","[""North Carolina"",""Virginia"",""Kentucky""]","[""Spring"",""Summer""]",40,35,10,48,"[""NPK fertilizer"",""Organic compost""]",4,60,12,1,virginiatobak
313,Legume,Vitklöver,20,5,15,0.3,3,6000,60,"[""Loam"",""Clay"",""Sandy""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,20,10,1,vitklöver
314,Herb,Vitlök,15,5,12,0.3,3,6000,70,"[""Loamy"",""Sandy""]","[""Northern Europe"",""North America""]","[""Early Spring"",""Late Autumn""]",30,35,20,72,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,12,2,vitlök
315,Perennial,Vitsippa,15,5,10,0.2,3,6000,70,"[""Loamy soil"",""Sandy soil""]","[""Northern Europe"",""North America""]","[""Spring""]",40,30,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,8,12,2,vitsippa
316,Perennial flower,Vit Skugglilja,10-20,3-5,10-15,0.3-0.5,2-4,4-6,60-80,"[""Loam"",""Sandy Loam"",""Clay""]","[""Shaded gardens"",""Woodlands"",""Under trees""]","[""Spring"",""Summer""]",30,30,20,48-72,"[""Slow-release fertilizer"",""Organic compost""]",4-6,12,12,0.5-1,vit skugglilja
317,Flowering Plant,Vit Sötväppling 18,20,5,15,0.3,3,600,70,"[""loam"",""sandy loam"",""clay""]","[""temperate regions"",""subtropical regions""]","[""Spring"",""Summer""]",20,35,10,24,"[""nitrogen"",""phosphorus"",""potassium""]",4,12,24,1,"vit sötväppling 18,"
318,Flowering Plant,Viva,25,10,20,0.5,5,3600,70,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Tropical regions"",""Mediterranean climates""]","[""Spring"",""Summer""]",40,35,50,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,2,viva
319,Flowering plant,Vårvial,20,5,15,0.5,3,6000,60,"[""Loam"",""Sandy loam"",""Clay""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Liquid fertilizer""]",4,12,6,0.5,vårvial
320,Perennial,Väddklint,20,5,15,0.3,3,6000,60,"[""Loamy"",""Sandy""]","[""Northern Europe"",""North America""]","[""Spring"",""Summer""]",50,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,12,0.5,väddklint
321,Perennial plant,Vägtistel,15.3,2.5,14.8,0.25,3.2,28000,60,"[""Loam"",""Clay""]","[""Northern Europe"",""Scandinavia""]","[""Spring"",""Summer""]",40,30,20,48,"[""Nitrogen-based"",""Potassium-based""]",4,60,12,0.2,vägtistel
322,Perennial,Vänderot,20,5,18,0.3,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Temperate regions"",""Northern Europe""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,36,24,1,vänderot
323,Grass,Westerwoldiskt Rajgräs,15,5,12,0.3,3,12000,70,"[""Loamy soil"",""Sandy soil"",""Clayey soil""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,12,10,1,westerwoldiskt rajgräs
324,Flowering plant,Zuluaster,25,10,20,0.3,5,6000,60,"[""loam"",""sandy loam"",""clay loam""]","[""abc"",""bca"",""xyz""]","[""Start of summer"",""abc"",""xyz""]",40,35,50,48,"[""abx"",""afn""]",4,24,12,2,zuluaster
325,Annual Flowering Plant,Åkerbinda,20,5,15,0.3,3,60000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""Scandinavia"",""Baltic States""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,30,10,24,"[""Compost"",""Organic liquid fertilizer""]",4,24,12,0.5,åkerbinda
326,Legume,Åkerböna,15,5,12,0.3,4,3600,50,"[""Loam"",""Silt"",""Clay""]","[""Scandinavia"",""Northern Europe"",""Baltic region""]","[""Spring"",""Early Summer""]",30,30,10,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,40,12,2,åkerböna
327,Perennial,Åkerklätt,18,5,15,0.3,3,3000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America""]","[""Late spring"",""Summer""]",40,30,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,12,0.5,åkerklätt
328,Flower,Åkerringblomma,20,5,18,0.3,3,600,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Northern Europe"",""Scandinavia"",""Baltic Region""]","[""Late Spring"",""Summer"",""Early Autumn""]",30,30,20,48,"[""Organic Compost"",""Slow-release Granular Fertilizer""]",4,24,12,0.5,åkerringblomma
329,Perennial Herb,Ålandsrot,15,5,12,0.3,3,6000,70,"[""Loam"",""Clay"",""Sandy""]","[""Northern Europe"",""Scandinavia"",""Baltic Region""]","[""Spring"",""Summer""]",30,30,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,24,12,0.5,ålandsrot
330,Flowering Plant,Angsglim,25,10,20,0.4,5,3000,60,"[""Loam"",""Sandy""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round""]",40,35,50,48,"[""NPK fertilizer"",""Organic compost""]",4,24,12,1,angsglim
331,Flowering Plant,Aggört,25,10,20,0.3,5,3000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Tropical regions"",""Mediterranean regions""]","[""Spring"",""Summer""]",40,35,50,48,"[""NPK"",""Organic compost""]",4,24,12,1,aggört
332,Grass,Ängshavrerot,15,5,12,0.4,3,18000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America""]","[""Start of summer"",""Late spring""]",30,35,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,24,12,1,ängshavrerot
333,Perennial Flower,Ängsnejlika,20,3,18,0.4,4,30000,60,"[""Loam"",""Sandy"",""Clay""]","[""Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Autumn""]",30,35,20,72,"[""Organic compost"",""Slow-release granular fertilizer""]",6,24,12,0.5,ängsnejlika
334,Perennial Flower,Ängsnäva,14.5,3.2,12.8,0.25,2.1,18000,75,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Fall""]",25,30,10,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,12,12,0.2,ängsnäva
335,Perennial,Ängsruta,20,5,15,0.3,3,6000,60,"[""Sandy loam"",""Loam"",""Clay""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",20,35,50,72,"[""Organic compost"",""All-purpose fertilizer""]",4,36,12,0.5,ängsruta
336,Perennial Flower,Ängstoppklocka,15,5,20,0.3,3,18000,70,"[""Loamy"",""Sandy"",""Clay""]","[""Northern Europe"",""Scandinavia""]","[""Late Spring"",""Summer""]",30,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",6,36,12,0.5,ängstoppklocka
337,Perennial,Septentrionale,22,5,18,0.25,2,3600,45,"[""Loamy"",""Sandy""]","[""North America"",""Europe""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK"",""Compost""]",4,24,144,1,septentrionale
338,Perennial,Aconitum x stoerkianum,16,5,14,0.3,3,300,60,"[""Loamy"",""Sandy"",""Clayey""]","[""Partial Shade"",""Moist Soil"",""Cool Climate""]","[""Late Spring"",""Summer""]",30,30,20,48-72,"[""Organic compost"",""Slow-release granular fertilizer""]",4-6,36,12,1,aconitum x stoerkianum
339,Perennial,Actaea erythocarpa,20,5,15,0.4,4,600,70,"[""Loamy"",""Sandy""]","[""Temperate regions"",""Woodlands""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",8,36,24,1,actaea erythocarpa
340,Perennial,Actaea rubra,12,5,10,0.4,3,3600,70,"[""Loam"",""Silt"",""Clay""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,30,50,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,36,24,0.5,actaea rubra
341,Herbaceous plant,Aethusa cynapium,15.5,2.3,18.2,0.25,1.8,25000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""Asia"",""North America""]","[""Late spring"",""Summer"",""Early autumn""]",50,35,30,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,24,12,0.5,aethusa cynapium
342,Perennial,Agrimonia eupatoria,20,5,15,0.3,4,6000,70,"[""Loam"",""Clay"",""Sandy""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",40,35,30,48,"[""Organic compost"",""Slow-release granular fertilizer""]",6,36,12,0.5,agrimonia eupatoria
343,Perennial,Alcea ficifolia,18,5,15,0.3,3,600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,35,30,48,"[""NPK 10-10-10"",""Compost""]",4,60,24,1,alcea ficifolia
344,Perennial herb,Allium caeruleum,20,5,15,0.4,3,6000,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Europe"",""Asia"",""North America""]","[""Spring"",""Summer""]",40,35,20,48,"[""Compost"",""Organic matter"",""Bone meal""]",8,18,12,2,allium caeruleum
345,Herbaceous perennial,Allium fistulosum,18,5,15,0.2,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Subtropical regions""]","[""Spring"",""Summer"",""Autumn""]",40,35,30,24,"[""Nitrogen-based fertilizers"",""Potassium-based fertilizers""]",4,24,12,1,allium fistulom
346,Perennial,Allium hollandicum,16,5,18,0.35,3,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,30,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,12,1,allium hollandicum
347,Perennial bulb,Allium karataviense,15,5,18,0.3,3,6000,50,"[""Well-drained"",""Sandy loam""]","[""Central Asia"",""Europe"",""North America""]","[""Spring"",""Summer""]",40,35,20,48,"[""Compost"",""Organic fertilizer""]",6,10,6,2,allium karataviense
348,Perennial vegetable,Allium x proliferum,20,5,18,0.25,3,18000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Southern Europe"",""China""]","[""Spring"",""Summer"",""Autumn""]",30,35,50,48,"[""Organic compost"",""Nitrogen-based fertilizer""]",4,36,12,1,allium x proliferum
349,Perennial herb,Allium scorodoprasum,18,3,15,0.25,4,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""Asia"",""North America""]","[""Spring"",""Summer""]",40,30,20,48,"[""NPK"",""Compost""]",4,36,12,1,allium scorodoprasum
350,Shrub,Amelanchier alnifolia,15,5,20,0.3,3,18000,50,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,24,"[""NPK"",""Compost""]",4,120,36,1,amelanchier alnifolia
351,Perennial,Anemone nemorosa,12,2,10,0.3,3,18000,70,"[""Loamy"",""Sandy"",""Clayey""]","[""Woodlands"",""Meadows"",""Gardens""]","[""Spring"",""Early Summer""]",40,30,10,24,"[""Organic compost"",""Slow-release granular fertilizer""]",8,8,12,0.5,anemone nemorosa
352,Perennial Flower,Anemone sylvestris,10-25,2-5,10-20,0.2-0.4,2-4,3000-3500,40-60,"[""Well-drained soil"",""Loamy soil""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",30,30,10,48-72,"[""Organic compost"",""Slow-release granular fertilizer""]",4-6,12-18,12x12,0.25-0.5,anemone sylvestris
353,Perennial,Anemone tomentosa,15.6,4.5,12.3,0.18,2.1,6300,65,"[""Loam"",""Sandy Loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",35,38,50,48,"[""Slow-release fertilizer"",""Organic compost""]",4,24,12,0.5,anemone tomentosa
354,Perennial herb,Angelica sylvestris,20,5,15,0.4,4,12000,65,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,30,48,"[""Compost"",""Organic liquid fertilizer""]",4,60,24,0.2,angeliga sylvestris
355,Perennial,Anthyllis Vulneraria,20,5,15,0.3,3,6000,60,"[""Well-drained sandy soil"",""Loamy soil""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",30,35,20,48,"[""Organic compost"",""Slow-release fertilizer""]",8,24,12,0.25,anthyllis vulneraria
356,Perennial,Aralia Continentalis,18,5,20,0.5,3,600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",30,35,30,48,"[""NPK 10-10-10"",""Compost""]",4,60,36,1,aralia continentalis
357,Perennial,Arctium Tomentosum,20,5,15,0.3,3,3600,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""United States"",""Canada"",""Europe""]","[""Spring"",""Summer""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,60,24,0.5,arctium tomentosum
358,Perennial,Arisaema amurense,15-25,5-10,15-20,0.3-0.6,3-5,6-8,60-80,"[""Loam"",""Sandy loam"",""Silt loam""]","[""Temperate regions"",""Woodland gardens"",""Shaded areas""]","[""Spring"",""Early summer""]",20,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",6-8,24-36,12-18,1-2,arisaema amurense
359,Herb,Artemisia dracunculus,20,5,18,0.3,4,30000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Central Asia"",""North America""]","[""Spring"",""Summer""]",40,35,20,48,"[""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",4,24,12,0.2,artemisia dracunculus
360,Perennial,Aruncus Dioicus,10-20,2-3,10-15,0.3-0.5,3-4,6-8,40-60,"[""Well-drained soil"",""Loamy soil"",""Sandy soil""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",40-60,25-30,20-30,48-72,"[""Organic compost"",""Slow-release granular fertilizer""]",4-6,48-60,24-36,0.5-1,aruncus dioicus
